Tiempo inicio de picado,Tiempo Fin de picado,Amplitud,Excepción
2018-01-16T00:39:59.340000Z,2018-01-16T00:40:19.640000Z,11128.109896955526,No
2018-01-16T01:21:51.820000Z,2018-01-16T01:22:26.920000Z,898.1122574793654,Si.
2018-01-16T05:29:49.960000Z,2018-01-16T05:30:20.640000Z,1438.427927058598,No
2018-01-16T16:03:10.960000Z,2018-01-16T16:03:35.560000Z,589.2444134646615,No
2018-01-16T18:11:11.940000Z,2018-01-16T18:11:28.700000Z,782.8035015960817,No
2018-01-16T19:23:42.160000Z,2018-01-16T19:24:24.480000Z,1189.471147770405,No
2018-01-16T22:43:04.240000Z,2018-01-16T22:43:25.340000Z,1786.9411498175962,Si.
2018-01-16T23:54:03.900000Z,2018-01-16T23:55:48.920000Z,620.7016928344611,No
2018-01-17T00:01:14.340000Z,2018-01-17T00:01:58.100000Z,1201.9635676011949,No
2018-01-17T00:26:03.640000Z,2018-01-17T00:26:33.980000Z,919.1622338554031,No
2018-01-17T01:33:53.800000Z,2018-01-17T01:34:18.060000Z,570.5411965025575,No
2018-01-17T03:40:24.380000Z,2018-01-17T03:40:56.280000Z,547.7224265871979,No
2018-01-17T06:51:00.260000Z,2018-01-17T06:51:17.120000Z,867.0222785808871,No
2018-01-17T07:13:20.740000Z,2018-01-17T07:14:26.760000Z,3732.195212277357,No
2018-01-17T08:54:42.080000Z,2018-01-17T08:55:12.200000Z,24229.08512348829,No
2018-01-17T11:32:09.940000Z,2018-01-17T11:32:27.020000Z,755.0591227136749,No
2018-01-17T12:39:33.440000Z,2018-01-17T12:39:52.300000Z,3856.6515242174833,No
2018-01-17T20:23:39.800000Z,2018-01-17T20:23:59.800000Z,1780.5324704618743,No
2018-01-17T23:00:20.700000Z,2018-01-17T23:00:48.900000Z,611.3449808335636,No
2018-01-18T00:58:38.060000Z,2018-01-18T00:58:58.520000Z,568.7684266337957,No
2018-01-18T14:20:43.120000Z,2018-01-18T14:21:01.440000Z,564.5040352467894,No
2018-01-18T15:41:55.180000Z,2018-01-18T15:42:12.680000Z,1583.2655653728712,No
2018-01-18T15:50:28.980000Z,2018-01-18T15:50:46.780000Z,1135.4777671486365,No
2018-01-18T17:18:50.140000Z,2018-01-18T17:19:06.760000Z,1328.3046722294364,No
2018-01-18T19:18:33.240000Z,2018-01-18T19:18:59.380000Z,72814.54101495737,No
2018-01-19T01:14:34.680000Z,2018-01-19T01:15:18.680000Z,13593.134019418741,No
2018-01-19T03:07:36.400000Z,2018-01-19T03:07:52.140000Z,789.1965709877115,No
2018-01-19T06:18:27.700000Z,2018-01-19T06:18:47.460000Z,516.369357913764,No
2018-01-19T12:18:08.980000Z,2018-01-19T12:18:24.740000Z,906.5682107223246,No
2018-01-19T12:35:14.800000Z,2018-01-19T12:35:31.040000Z,1908.6333052816294,No
2018-01-19T13:13:35.460000Z,2018-01-19T13:13:52.520000Z,549.253283077228,No
2018-01-19T13:57:19.480000Z,2018-01-19T13:57:37.020000Z,926.0486783173895,No
2018-01-19T14:06:14.400000Z,2018-01-19T14:06:33.740000Z,730.9824766021825,No
2018-01-19T14:46:38.760000Z,2018-01-19T14:46:57.080000Z,5985.062583664085,No
2018-01-19T15:37:11.380000Z,2018-01-19T15:37:38.220000Z,503.56660402728903,No
2018-01-19T16:06:19.580000Z,2018-01-19T16:06:38.760000Z,683.4788823292153,No
2018-01-19T16:29:10.720000Z,2018-01-19T16:29:30.660000Z,2639.498428566609,No
2018-01-19T16:52:17.680000Z,2018-01-19T16:52:36.720000Z,563.3362590103079,No
2018-01-19T17:09:42.960000Z,2018-01-19T17:10:01.600000Z,4907.141884556326,No
2018-01-19T22:32:21.540000Z,2018-01-19T22:33:51.620000Z,1585.135830726998,No
2018-01-19T23:31:48.560000Z,2018-01-19T23:32:05.440000Z,506.18490580550247,No
2018-01-20T02:03:56.320000Z,2018-01-20T02:04:10.060000Z,1836.4588605373572,No
2018-01-20T03:36:09.920000Z,2018-01-20T03:36:23.860000Z,613.6515648543931,Si.
2018-01-20T04:07:23.100000Z,2018-01-20T04:07:42.520000Z,1043.484289779241,No
2018-01-20T04:47:30.920000Z,2018-01-20T04:47:41.400000Z,538.755657466155,No
2018-01-20T05:12:16.300000Z,2018-01-20T05:12:36.020000Z,1703.3020892801067,No
2018-01-20T08:08:28.100000Z,2018-01-20T08:08:41.200000Z,6858.207824936087,No
2018-01-20T08:21:16.260000Z,2018-01-20T08:23:55.280000Z,652.5691166394538,Si.
