Resultados

 Tiempo inicio de picado, Tiempo Fin de picado 
2018-01-16T16:03:10.960000Z, 2018-01-16T16:03:35.560000Z
2018-01-16T17:45:47.480000Z, 2018-01-16T17:46:06.680000Z
2018-01-16T18:11:11.940000Z, 2018-01-16T18:11:28.700000Z
2018-01-16T19:23:42.160000Z, 2018-01-16T19:24:24.480000Z
2018-01-16T22:43:04.240000Z, 2018-01-16T22:43:25.340000Z
2018-01-16T23:54:03.900000Z, 2018-01-16T23:55:48.920000Z
2018-01-17T00:01:14.340000Z, 2018-01-17T00:01:58.100000Z
2018-01-17T00:26:03.640000Z, 2018-01-17T00:26:33.980000Z
2018-01-17T01:31:57.440000Z, 2018-01-17T01:32:17.520000Z
2018-01-17T01:33:53.800000Z, 2018-01-17T01:34:18.060000Z
2018-01-17T03:40:24.380000Z, 2018-01-17T03:40:56.280000Z
2018-01-17T06:51:00.260000Z, 2018-01-17T06:51:17.120000Z
2018-01-17T07:13:20.740000Z, 2018-01-17T07:14:26.760000Z
2018-01-17T08:54:03.980000Z, 2018-01-17T08:54:20.860000Z
2018-01-17T08:54:42.080000Z, 2018-01-17T08:55:12.200000Z
2018-01-17T11:32:09.940000Z, 2018-01-17T11:32:27.020000Z
2018-01-17T12:39:33.440000Z, 2018-01-17T12:39:52.300000Z
2018-01-17T20:23:39.800000Z, 2018-01-17T20:23:59.800000Z
2018-01-17T23:00:20.700000Z, 2018-01-17T23:00:48.900000Z
2018-01-18T00:58:38.060000Z, 2018-01-18T00:58:58.520000Z
2018-01-18T01:19:33.380000Z, 2018-01-18T01:20:30.240000Z
2018-01-18T09:20:55.120000Z, 2018-01-18T09:21:11.720000Z
2018-01-18T14:20:43.120000Z, 2018-01-18T14:21:01.440000Z
2018-01-18T15:41:55.180000Z, 2018-01-18T15:42:12.680000Z
2018-01-18T15:50:28.980000Z, 2018-01-18T15:50:46.780000Z
2018-01-18T17:18:50.140000Z, 2018-01-18T17:19:06.760000Z
2018-01-18T19:18:33.240000Z, 2018-01-18T19:18:59.380000Z
2018-01-19T01:14:34.680000Z, 2018-01-19T01:15:18.680000Z
2018-01-19T03:07:36.400000Z, 2018-01-19T03:07:52.140000Z
2018-01-19T06:18:27.700000Z, 2018-01-19T06:18:47.460000Z
2018-01-19T12:18:08.980000Z, 2018-01-19T12:18:24.740000Z
2018-01-19T12:35:14.800000Z, 2018-01-19T12:35:31.040000Z
2018-01-19T12:37:37.060000Z, 2018-01-19T12:37:54.400000Z
2018-01-19T13:13:35.460000Z, 2018-01-19T13:13:52.520000Z
2018-01-19T13:57:19.480000Z, 2018-01-19T13:57:37.020000Z
2018-01-19T14:06:14.400000Z, 2018-01-19T14:06:33.740000Z
2018-01-19T14:46:38.760000Z, 2018-01-19T14:46:57.080000Z
